id,category,title,role,situation,challenge,option_a,option_b,option_c,option_d,correct_answer,best_practice,sop_or_value,personal_reflection
SC-01,Customer Service,Shelf price and cashier price mismatch,Admin Store,"A customer complains that the shelf price is lower than the cashier price. The cashier calls you because the line is getting longer.","What should you do first?","Ask the customer to pay the cashier price because the system is always correct.","Apologize, confirm the item and price difference, ask cashier to pause escalation politely, then check shelf tag/system evidence.","Ask the customer to go back to the shelf and take a photo.","Tell the cashier to remove the item from the bill and handle it later.",B,"Apologize first, confirm facts, reduce pressure at cashier, check the shelf tag and POS/system information, then follow company rule for correction/reporting. The first behavior matters because the customer needs to feel heard before process correction.","Customer service / price accuracy / escalation","What exact words would I use in the first 30 seconds?"
SC-02,Store Operation,Opening checklist not completed,Admin Store,"It is 10 minutes before store opening. One section has not completed the opening checklist because the assigned staff arrived late.","What is the best immediate action?","Open as usual and remind the staff later.","Delay store opening until every checklist item is completed.","Identify the highest-risk unchecked items, assign temporary support, complete must-check items before opening, and record the issue for follow-up.","Ask another department to sign the checklist on behalf of the staff.",C,"Separate critical readiness from minor follow-up. Before opening, check safety, customer-facing readiness, cash/POS readiness if relevant, and visible operational risks. Record what was missed and follow up with owner after opening.","Opening standard / risk control / ownership","Which opening items are non-negotiable in my store?"
SC-03,Communication,Display change information missed,Admin Store,"HQ sent an updated display instruction yesterday evening. This morning, one store team is still following the old layout and says they never received the change.","What should you do?","Blame the team for not checking messages.","Forward the HQ message again without explanation.","Confirm who received the message, summarize the exact change, clarify deadline/owner, and create a simple confirmation loop.","Ignore because display is not urgent.",C,"The issue is not only the message but the confirmation system. Clarify the change, owner, deadline, and proof of completion. Then improve the communication loop so future updates are acknowledged, not only sent.","Information cascade / standardization","How do I confirm that important updates were actually understood?"
SC-04,Admin Coordination,Approval deadline at risk,Admin Store,"A document that needs manager approval is due today. The manager is in meetings and has not replied. The requesting team is asking for status.","What is the most professional response?","Wait until the manager replies because approval is not your responsibility.","Tell the requesting team the manager is too busy.","Send a concise reminder to the manager with deadline, decision needed, risk if delayed, and proposed next step; update the requester with factual status.","Approve it yourself to avoid delay.",C,"Escalation should help decision-making. Provide facts, deadline, impact, and proposed action. Do not hide delay, but do not create panic or overstep authority.","Approval flow / reporting / accountability","What information does my manager need to decide quickly?"
SC-05,New Store Opening,Task delay before store opening,Admin Store,"During new store opening preparation, training attendance confirmation is incomplete. Store opening is close, and manpower planning depends on this information.","What should you do first?","Wait for all stores to reply naturally.","Create a short status list, identify missing names, contact owners directly, set a clear cut-off time, and report the risk early.","Send a long email explaining why everyone should cooperate.","Remove unconfirmed people from the list immediately.",B,"For launch work, visibility beats assumption. Build a status list, identify gaps, contact owners, set cut-off, and escalate early if the delay affects manpower or training readiness.","Store opening / coordination / deadline control","What launch task needs a daily status view?"
SC-06,Complaint Handling,Staff attitude complaint,Admin Store,"A customer says a staff member answered rudely. The staff member says the customer misunderstood and becomes defensive.","What is the best first handling?","Ask the staff to apologize immediately in front of everyone.","Listen to the customer, acknowledge the feeling, separate customer handling from staff coaching, then verify facts calmly.","Tell the customer that staff are busy and mistakes happen.","Ask another staff member to decide who is right.",B,"Handle the customer emotion first without judging facts too early. Then collect information privately: what happened, what was said, who witnessed it, and whether service standard was followed. Coach behavior after facts are clear.","Customer complaint / respectful communication","How can I acknowledge emotion without admitting facts I have not checked?"
SC-07,Safety,Blocked aisle discovered,Admin Store,"You notice cartons temporarily placed in a customer aisle during a busy period. Staff say they will move them after finishing another task.","What should you do?","Leave them because the task is almost done.","Move or assign immediate removal, then remind the team why aisle safety cannot wait.","Take a photo and report later only.","Ask customers to walk around the cartons.",B,"Safety risks should be removed immediately. After the area is safe, discuss why temporary placement still creates customer risk and what alternative holding area should be used.","Safety / customer readiness","Which temporary habits in my store can become safety risks?"
SC-08,Process Compliance,Receiving quantity mismatch,Admin Store,"During goods receiving, the actual quantity is different from the delivery document. The team is busy and wants to adjust later.","What should you advise?","Accept the delivery first and fix the number after store closing.","Record the mismatch immediately, keep evidence, inform the responsible person, and follow receiving discrepancy process.","Ask the delivery person to change the document manually.","Ignore small differences if the item value is low.",B,"Quantity mismatch must be recorded at the point of discovery. Evidence and timely reporting protect the store from inventory, finance, and accountability issues.","Receiving / inventory accuracy / compliance","What evidence is required before I report a discrepancy?"
SC-09,Team Communication,Staff did not receive schedule change,Admin Store,"A staff member misses an updated shift because the schedule was changed in a chat group while they were off. The supervisor says the message was already sent.","What is the best improvement?","Tell the staff to check messages more often.","Tell the supervisor not to change schedules anymore.","Clarify the official schedule-change channel, require acknowledgement for changes, and record the final schedule in one source of truth.","Let each team create its own method.",C,"For schedule changes, sending is not the same as confirming. There should be one official source, a clear acknowledgement rule, and a way to handle off-day communication fairly.","Manpower / communication control","Where is the single source of truth for schedule changes?"
SC-10,Japanese Working Culture,Report lacks enough facts,Admin Store,"You report an operational issue to a Japanese manager: 'The store is having many problems today.' The manager asks several follow-up questions and seems unsatisfied.","What should the improved report include?","More emotion so the manager understands urgency.","Only the final conclusion, because managers are busy.","Facts: what happened, when, where, impact, current action, risk, and what decision/support is needed.","A full history of all related problems.",C,"A good report helps the manager decide. Use concise facts and requested action: situation, impact, cause if known, countermeasure, deadline, and support needed.","Hou-ren-sou / reporting / decision support","How can I turn a vague issue into a decision-ready report?"
SC-11,Training Support,New staff does not know who to ask,Admin Store,"A new staff member says they received many documents but still does not know who to ask for daily operation questions.","What is the best response?","Tell them to read the documents again.","Create or confirm a simple contact map: topic, first contact person, backup person, and escalation rule.","Ask them to message everyone until someone replies.","Tell their manager that training failed.",B,"Documents alone do not create support. New staff need a clear question route, especially in store operations where timing matters. A contact map reduces confusion and repeated mistakes.","Onboarding / learner support / operation readiness","What are the top 5 question categories a new staff asks?"
SC-12,Improvement Mindset,Repeated small errors in reports,Admin Store,"The same minor errors keep appearing in weekly store reports: missing attachment, wrong date format, and unclear comment fields.","What should you do?","Correct each report manually every week.","Send a reminder saying everyone must be more careful.","Identify the repeated error pattern, update the template/checklist, show one correct example, and track whether errors reduce.","Escalate all errors to senior management.",C,"Repeated small errors are usually system problems, not only attention problems. Improve the template, make the correct example visible, and track whether the fix works.","Continuous improvement / standardization","What repeated correction can I turn into a checklist or template?"
